,ID,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,NumWebVisitsMonth,Complain,Response,Amount,TotalPurchases,Age,Years_Since_Registration,Cluster_labels
84,535,Graduation,Divorced,81361.0,0,0,18,1,0,0,778,27,37,9.891854893908283,Low
85,5268,Graduation,Married,29440.0,1,1,95,7,0,0,56,7,64,10.190280629705681,High
86,273,Master,Married,36138.0,1,1,48,7,0,0,151,13,54,10.505133470225873,High
87,4452,Graduation,Single,50388.0,0,1,3,7,0,1,372,17,67,9.639972621492129,Low
88,8504,Graduation,Married,79593.0,0,0,70,2,0,0,1366,19,51,9.117043121149898,Low
89,771,Graduation,Together,54178.0,0,1,79,2,0,0,194,10,57,9.987679671457906,Average
93,11178,Master,Single,42394.0,1,0,69,7,0,0,32,5,52,9.820670773442847,Average
94,2230,PhD,Married,23626.0,1,0,84,5,0,0,43,10,54,9.650924024640657,Average
95,7516,Graduation,Married,30096.0,1,0,30,6,0,0,45,6,41,9.656399726214921,Average
96,7247,Graduation,Widow,47916.0,0,1,72,6,0,0,606,22,64,11.151266255989048,High
97,11100,Graduation,Divorced,51813.0,1,1,37,7,0,0,63,7,52,10.20123203285421,Low
98,4646,2n Cycle,Married,78497.0,0,0,44,2,0,0,978,25,73,11.011635865845312,Low
99,3037,PhD,Married,50150.0,0,0,32,5,0,0,410,16,41,10.576317590691307,High
100,1473,2n Cycle,Single,47823.0,0,1,0,8,0,0,72,7,64,10.485968514715948,Average
101,1016,PhD,Single,34554.0,0,1,43,6,0,0,55,7,65,9.801505817932922,Average
102,4518,Graduation,Together,85693.0,0,1,59,5,0,0,1169,27,45,10.743326488706366,Average
103,9370,PhD,Married,65846.0,0,0,68,4,0,0,1120,16,79,10.669404517453799,Low
104,8908,Graduation,Married,87195.0,0,0,35,1,0,1,1097,20,65,9.451060917180014,Average
105,8373,Basic,Together,24594.0,1,0,94,5,0,0,29,5,45,10.264202600958248,Low
106,7533,Graduation,Married,49096.0,1,1,15,7,0,0,187,13,60,10.313483915126625,Low
107,2683,Graduation,Married,52413.0,0,2,56,6,0,0,910,26,55,10.954140999315538,Average
108,3629,Graduation,Single,38557.0,1,0,17,7,0,0,145,9,46,11.077344284736482,High
109,10991,Master,Married,89058.0,0,0,18,2,0,0,850,14,64,11.515400410677618,High
110,5077,Graduation,Together,77298.0,0,1,46,3,0,0,969,24,45,10.929500342231348,High
111,7431,PhD,Single,68126.0,0,0,40,9,0,1,1820,17,33,11.266255989048597,Low
112,3267,Master,Together,57288.0,0,1,27,6,0,0,608,20,61,9.56331279945243,High
113,999,Graduation,Single,86037.0,0,0,95,3,0,1,730,25,33,10.956878850102669,High
114,9215,PhD,Married,43974.0,1,0,19,7,0,0,551,21,44,11.096509240246407,High
115,2286,Graduation,Single,50785.0,1,1,27,6,0,0,114,8,62,10.272416153319645,Average
116,1592,Graduation,Married,90765.0,0,0,25,1,0,0,1724,15,54,9.979466119096509,Average
117,367,2n Cycle,Married,36550.0,1,0,74,9,0,0,577,20,46,10.907597535934292,Low
118,5234,2n Cycle,Together,30753.0,1,1,85,5,0,0,81,7,57,10.193018480492814,Average
119,9862,Graduation,Together,21918.0,1,0,37,6,0,0,33,7,55,10.173853524982889,Low
120,9805,Master,Together,56129.0,0,1,65,4,0,0,660,22,71,10.576317590691307,Low
121,6205,Master,Single,32557.0,1,0,13,5,0,1,80,9,57,9.894592744695414,Average
122,8442,Master,Married,19510.0,2,0,63,7,0,0,30,6,39,10.77344284736482,Low
123,7386,Graduation,Divorced,30992.0,1,0,83,7,0,0,43,5,48,10.737850787132102,Low
125,1491,2n Cycle,Together,71488.0,0,0,87,1,0,0,559,16,59,10.910335386721425,High
126,11071,Graduation,Single,79607.0,0,0,37,1,0,1,1923,16,40,10.740588637919233,High
127,3381,Master,Married,54348.0,1,1,51,6,0,0,90,8,71,9.44832306639288,High
129,11051,PhD,Together,77376.0,1,1,72,4,0,0,661,23,68,9.284052019164955,Average
130,8026,Graduation,Married,62998.0,0,1,10,5,0,0,463,19,72,10.297056810403832,Average
131,433,Master,Alone,61331.0,1,1,42,8,0,0,632,23,66,10.288843258042437,Average
132,9597,Graduation,Married,73448.0,0,0,10,4,0,0,725,19,55,9.292265571526352,Low
134,5290,PhD,Married,41551.0,1,1,51,8,0,0,279,16,60,10.425735797399042,High
135,1685,PhD,Together,62981.0,0,0,21,3,0,0,1482,23,57,10.836413415468858,High
136,5342,Basic,Divorced,9548.0,1,0,31,8,0,0,29,6,48,11.441478439425051,High
137,9579,PhD,Married,33762.0,2,1,61,8,0,0,106,9,65,10.529774127310061,Low
138,7660,PhD,Alone,35860.0,1,1,37,5,0,1,49,6,51,9.664613278576317,Low
139,1461,PhD,Divorced,36921.0,1,1,74,7,0,0,38,7,59,10.472279260780287,Average
140,821,Master,Single,92859.0,0,0,46,2,0,0,2077,22,32,11.24435318275154,Low
141,11084,Master,Together,65104.0,0,1,4,7,0,1,1053,17,48,10.173853524982889,High
142,8690,Graduation,Married,86111.0,0,0,73,2,0,0,1385,23,62,10.746064339493497,Low
143,2937,PhD,Single,68352.0,0,1,47,6,0,0,871,25,50,10.387405886379192,Average
144,9701,Graduation,Together,41883.0,1,0,13,7,0,0,312,12,36,10.830937713894592,Low
145,9949,Graduation,Married,59809.0,0,2,36,8,0,0,877,15,48,11.247091033538672,Low
146,10837,Graduation,Married,23957.0,1,0,47,6,0,1,68,6,49,11.219712525667351,Low
147,3120,Graduation,Together,38547.0,1,0,49,8,1,0,22,4,43,10.387405886379192,Average
148,5885,2n Cycle,Married,35688.0,2,1,94,8,0,0,211,16,51,11.403148528405202,High
149,4050,Master,Married,49605.0,0,0,65,3,0,0,127,8,58,9.574264202600958,Average
150,3830,Master,Married,59354.0,0,2,59,3,0,0,459,16,71,9.73305954825462,High
151,7987,Graduation,Married,65747.0,0,1,96,6,0,0,460,19,55,9.541409993155373,Average
152,7798,2n Cycle,Together,46344.0,0,1,28,7,0,0,429,17,52,11.091033538672143,Low
153,92,Graduation,Alone,34176.0,1,0,12,6,0,0,89,11,36,9.117043121149898,Low
154,7055,PhD,Together,61010.0,0,1,57,5,0,0,1021,26,72,11.351129363449692,Low
155,10240,Graduation,Together,69372.0,0,0,10,4,0,1,1381,21,75,10.907597535934292,Average
156,3025,Graduation,Single,49967.0,0,1,4,7,0,0,306,15,66,10.444900752908966,High
157,9283,Graduation,Single,60199.0,1,2,49,4,0,0,18,4,46,10.105407255304586,High
158,9970,Graduation,Together,55375.0,0,1,3,2,0,0,162,9,47,10.250513347022586,High
159,2730,Graduation,Single,80317.0,0,0,64,1,0,0,1231,18,69,10.40930869267625,Low
160,2795,Master,Single,30523.0,2,1,0,7,0,0,13,4,66,11.025325119780971,Low
161,9260,PhD,Married,70356.0,0,0,20,6,0,0,1706,27,79,11.685147159479808,Low
162,8182,Graduation,Married,23228.0,1,0,91,8,0,0,121,11,40,9.713894592744696,Average
163,10095,PhD,Divorced,74165.0,0,0,9,2,0,0,1293,20,49,11.030800821355236,Average
165,4370,Graduation,Together,43482.0,2,1,83,6,0,0,88,9,58,10.17659137577002,High
166,10573,Graduation,Divorced,62551.0,0,0,27,3,0,0,421,18,71,10.16290212183436,Average
167,3712,Graduation,Divorced,52332.0,0,0,63,4,0,0,259,12,65,10.387405886379192,Low
168,6637,Graduation,Single,66951.0,0,0,46,1,0,0,1117,15,36,10.929500342231348,High
169,3152,Graduation,Together,26091.0,1,1,84,5,0,0,89,9,67,9.891854893908283,Average
170,5610,Graduation,Together,33456.0,1,1,58,7,0,0,36,6,59,9.741273100616016,High
171,6460,Graduation,Married,28718.0,1,0,78,8,0,0,57,7,42,10.513347022587268,High
172,1349,Graduation,Married,50447.0,2,0,4,6,0,0,148,8,54,9.741273100616016,High
173,1880,PhD,Together,53537.0,1,1,17,5,0,0,93,8,65,9.963039014373717,High
174,641,Graduation,Single,52074.0,0,1,77,4,0,0,119,7,57,9.787816563997263,Low
175,8717,PhD,Married,80427.0,0,1,56,5,0,0,1835,28,49,11.104722792607802,Average
176,10314,PhD,Married,83837.0,0,0,79,4,0,1,1318,25,76,11.085557837097879,Low
177,10854,PhD,Married,38853.0,1,1,90,7,0,0,45,7,54,9.653661875427789,High
178,10492,Graduation,Together,38285.0,2,1,96,2,0,0,10,4,65,9.566050650239562,Average
179,6935,2n Cycle,Married,78497.0,0,0,44,2,0,0,978,25,73,11.011635865845312,High
180,7698,PhD,Married,51650.0,0,1,81,5,0,0,191,10,48,9.19917864476386,High
181,3559,2n Cycle,Married,16248.0,1,0,77,6,0,0,57,9,36,9.284052019164955,Low
182,10562,Master,Married,66835.0,0,0,21,2,0,0,1033,24,78,10.302532511978097,High
183,10796,Master,Married,30477.0,1,0,16,6,0,0,66,6,40,9.984941820670773,Average
184,2563,Basic,Married,28249.0,0,0,80,6,0,0,43,6,63,9.59069130732375,Average
185,3518,Graduation,Married,25271.0,1,0,45,9,0,0,50,5,41,11.682409308692677,Average
186,5823,PhD,Single,32303.0,0,1,63,5,0,0,39,7,54,9.456536618754278,Low
187,3934,Graduation,Married,61286.0,0,1,34,5,0,0,608,18,58,10.937713894592745,Average
188,6982,Graduation,Married,74068.0,0,0,14,2,0,0,1581,24,48,10.830937713894592,Average
189,6431,PhD,Married,45759.0,1,1,13,7,0,0,68,7,60,10.896646132785763,Average
190,9733,Basic,Together,24882.0,1,0,52,6,0,0,80,5,46,11.353867214236825,Low
191,5602,PhD,Together,66973.0,0,0,98,3,0,0,1282,28,35,10.669404517453799,High
192,7829,2n Cycle,Divorced,36640.0,1,0,99,5,1,0,65,6,124,10.30800821355236,High
193,1324,Graduation,Married,38872.0,1,0,93,8,0,0,91,8,36,10.633812457221081,Low
194,326,Graduation,Married,51148.0,1,1,38,6,0,0,315,16,51,10.910335386721425,Low
195,7224,Graduation,Married,31353.0,1,1,24,8,0,0,31,6,47,10.050650239561945,Average
196,6999,Master,Married,69661.0,0,0,80,3,0,0,834,23,44,9.681040383299111,Low
197,9938,Graduation,Married,80067.0,0,0,82,2,0,0,1600,17,70,10.327173169062286,Average
198,6422,Graduation,Married,86718.0,0,0,20,2,0,0,1270,17,70,10.99794661190965,Low
199,3182,PhD,Single,46854.0,1,1,81,8,0,1,263,15,51,9.79876796714579,Low
200,7300,Graduation,Divorced,69142.0,0,1,50,5,0,0,535,19,72,9.552361396303901,Average
201,10424,Graduation,Single,75922.0,0,0,60,1,0,0,1295,18,56,10.346338124572211,Low
202,8727,Graduation,Divorced,63693.0,0,1,63,6,0,0,1150,29,46,10.258726899383984,Low
204,1030,PhD,Single,40637.0,1,1,72,7,0,0,38,6,59,10.50239561943874,Low
205,624,Master,Single,18890.0,0,0,5,6,0,1,35,4,40,11.266255989048597,Average
206,5176,Graduation,Together,29604.0,1,0,88,9,0,0,53,5,36,10.431211498973306,Low
207,5552,Master,Divorced,48721.0,1,1,50,6,0,0,293,17,61,10.680355920602327,Average
208,868,Graduation,Married,44794.0,0,1,99,6,0,0,65,6,58,9.44832306639288,Average
209,380,Graduation,Divorced,64497.0,0,1,17,8,0,1,1804,29,70,11.271731690622861,High
210,2677,Graduation,Together,46097.0,0,1,11,4,0,0,241,15,68,10.798083504449007,Average
211,6521,Graduation,Together,77972.0,0,0,18,1,0,0,1101,20,70,9.834360027378509,Low
212,6927,PhD,Married,44377.0,1,1,70,8,0,0,264,19,56,11.68788501026694,Low
213,2877,Master,Together,46014.0,1,1,21,7,0,0,541,26,50,10.986995208761122,Low
214,0,Graduation,Married,70951.0,0,0,66,1,0,0,1198,17,39,10.784394250513348,Average
215,1584,Graduation,Married,41443.0,1,0,79,8,0,0,482,20,47,10.03422313483915,High
216,7264,2n Cycle,Single,52195.0,2,1,2,8,0,0,17,4,46,9.117043121149898,High
217,6274,Master,Married,83790.0,0,0,81,3,0,0,1615,25,76,10.171115674195756,Average
218,1377,Master,Widow,44551.0,0,1,24,7,0,0,285,12,70,10.379192334017796,High
219,454,Graduation,Together,69508.0,1,0,48,6,0,0,1135,28,44,11.173169062286105,High
220,1755,2n Cycle,Together,45204.0,1,0,93,3,0,0,114,7,36,9.201916495550993,Low
221,2075,Graduation,Married,72460.0,0,0,56,1,0,0,1047,16,55,10.173853524982889,High
222,4785,PhD,Together,77622.0,0,2,3,3,0,0,714,22,54,9.760438056125942,High
223,9076,PhD,Married,30732.0,1,0,44,8,0,0,185,13,44,10.713210130047912,Average
224,7079,Graduation,Divorced,63887.0,0,1,38,6,0,0,1245,32,62,11.43874058863792,High
225,4653,Graduation,Together,42011.0,1,0,46,8,0,0,189,12,46,10.811772758384668,Low
226,7375,Graduation,Together,51369.0,0,1,84,8,0,0,576,16,48,11.227926078028748,Average
227,709,Graduation,Divorced,51537.0,0,1,27,8,0,0,1103,18,72,11.345653661875428,Average
228,460,PhD,Married,79930.0,0,0,72,2,0,0,1753,17,52,11.441478439425051,High
229,3726,PhD,Together,34320.0,1,0,66,8,0,0,17,4,38,9.91649555099247,Average
230,6798,Graduation,Single,37070.0,1,1,30,7,0,1,433,23,58,10.82819986310746,Low
231,5341,2n Cycle,Divorced,81975.0,0,1,2,7,0,0,1588,14,62,10.713210130047912,High
232,1606,Graduation,Together,38590.0,1,0,65,8,0,0,22,4,53,10.674880219028063,Average
233,9617,Graduation,Single,15033.0,0,0,37,3,0,0,19,5,73,9.754962354551678,Average
234,3233,PhD,Married,62745.0,0,1,89,5,0,0,1117,29,59,10.819986310746064,Average
235,89,2n Cycle,Married,22212.0,1,0,49,6,0,0,69,8,49,10.346338124572211,Average
236,2936,Master,Together,23661.0,1,0,46,7,0,0,23,5,42,10.765229295003422,High
237,9449,PhD,Single,79761.0,0,1,32,3,0,0,605,19,66,10.770704996577686,High
238,7297,Graduation,Single,7500.0,1,0,54,7,0,0,57,11,51,10.05886379192334,High
239,11004,2n Cycle,Single,60182.0,0,1,23,4,0,0,22,4,131,9.670088980150581,Average
240,313,Graduation,Widow,73455.0,0,0,98,3,0,0,2088,22,56,10.220396988364135,High
241,9940,Graduation,Together,64961.0,0,1,97,3,0,0,1009,16,66,11.066392881587953,Average
242,10735,Graduation,Single,22804.0,1,0,75,9,0,0,26,5,53,10.464065708418891,Low
243,9529,Graduation,Married,73687.0,0,0,8,2,0,1,1627,22,34,10.13552361396304,High
244,6439,Graduation,Married,61074.0,0,1,37,7,0,0,1102,31,66,11.416837782340862,Low
245,7411,PhD,Married,31686.0,1,1,31,6,0,0,17,6,60,9.700205338809035,High
246,2176,Graduation,Married,80134.0,1,0,40,6,0,1,1690,16,52,10.661190965092402,Average
247,9265,Graduation,Married,75027.0,0,1,74,5,0,0,1390,21,71,10.376454483230663,Low
248,8867,PhD,Married,67546.0,0,0,90,3,0,0,2126,20,36,11.378507871321013,High
249,8932,Master,Together,65176.0,0,1,57,6,0,0,1531,25,55,11.21697467488022,Low
250,10236,Master,Single,31160.0,1,0,59,8,0,0,64,7,49,10.335386721423683,High
251,6340,Graduation,Single,29938.0,1,0,52,6,0,0,26,6,39,10.223134839151266,Average
253,2227,2n Cycle,Together,26490.0,0,0,92,6,0,0,210,11,66,11.318275154004107,Average
254,10992,Graduation,Together,75702.0,1,1,77,8,0,0,1148,26,57,11.383983572895277,High
255,5304,PhD,Single,30899.0,1,0,35,6,0,0,33,6,50,11.260780287474333,Average
256,309,PhD,Together,63342.0,0,1,48,6,0,0,1101,19,63,11.252566735112936,High
257,3406,Graduation,Single,45989.0,0,1,97,3,0,0,322,16,60,11.236139630390143,Low
258,2661,Graduation,Single,18701.0,1,1,95,5,0,0,44,10,60,10.781656399726215,High
259,3153,PhD,Single,40737.0,2,1,24,8,0,0,17,4,67,10.431211498973306,High
260,10264,Graduation,Divorced,15287.0,1,0,60,7,0,1,31,6,45,11.268993839835728,Average
261,1184,PhD,Divorced,69674.0,0,2,46,5,0,0,845,25,56,10.655715263518138,Low
262,4200,Master,Married,44159.0,1,0,85,5,0,0,275,15,54,9.585215605749486,Average
263,9396,PhD,Married,37717.0,1,0,31,9,0,0,25,4,46,11.148528405201917,Average
264,2387,Master,Together,43776.0,1,1,9,8,0,1,275,17,72,10.877481177275838,Average
265,6690,Master,Married,38179.0,1,1,30,7,0,0,90,11,58,10.844626967830253,High
266,1225,Graduation,Married,80124.0,0,0,47,1,0,0,1495,19,61,9.560574948665298,Low
267,9703,PhD,Married,38097.0,1,1,70,7,0,1,184,11,54,11.255304585900069,High
268,291,Graduation,Married,72940.0,0,0,13,1,0,0,981,13,54,10.57905544147844,Average
269,4557,Graduation,Together,22070.0,1,0,11,6,0,0,67,8,54,10.770704996577686,Low
270,2379,Graduation,Single,69267.0,0,0,31,7,0,1,1635,14,71,11.318275154004107,High
271,5726,Master,Single,31788.0,1,0,15,5,1,0,60,10,41,9.828884325804244,Average
272,3066,PhD,Together,61905.0,0,1,2,5,0,0,231,12,49,9.793292265571527,Low
273,6336,Graduation,Married,29315.0,1,1,55,6,0,0,48,10,64,9.620807665982204,Average
274,10967,Graduation,Divorced,33378.0,1,1,38,7,0,0,99,9,61,10.625598904859686,High
275,2304,PhD,Together,66313.0,0,1,86,4,0,0,770,23,61,10.335386721423683,High
276,3445,Graduation,Single,60714.0,0,0,56,5,0,1,957,23,68,10.99794661190965,High
277,7828,Master,Together,77882.0,0,0,29,1,0,0,818,12,43,9.716632443531827,Average
278,3762,PhD,Single,69867.0,0,0,30,1,0,1,925,17,38,10.948665297741274,High
279,4391,Master,Divorced,63841.0,0,1,64,6,0,0,908,22,56,10.740588637919233,High
280,4669,Basic,Married,24480.0,1,0,46,7,0,0,102,10,43,10.206707734428473,Low
281,10144,Graduation,Together,51369.0,0,1,84,8,0,0,576,16,48,11.227926078028748,High
282,8652,Graduation,Together,37760.0,0,0,20,7,0,0,317,13,78,11.378507871321013,Low
283,1672,PhD,Together,65640.0,0,1,74,2,0,0,461,15,50,10.036960985626283,Average
284,8962,Master,Married,44319.0,1,1,18,5,0,0,37,7,49,9.752224503764545,Low
285,9974,Graduation,Married,30631.0,1,0,75,7,0,0,70,7,50,10.11088295687885,High
286,10983,Graduation,Together,75278.0,0,0,17,3,0,0,930,23,72,10.965092402464066,Low
287,8148,Master,Together,50898.0,1,1,88,5,0,0,859,33,68,10.461327857631758,Low
288,10102,Graduation,Widow,79946.0,0,0,19,3,0,0,1478,22,58,9.117043121149898,Low
289,4697,Master,Divorced,35416.0,0,0,62,8,0,0,390,16,75,10.595482546201232,High
290,9262,2n Cycle,Together,32414.0,0,0,11,7,0,0,52,5,40,10.778918548939084,Average
291,7254,Graduation,Together,38361.0,1,0,74,7,0,0,137,10,55,10.056125941136209,High
292,4543,Graduation,Married,82497.0,0,0,32,4,0,0,1919,19,44,11.211498973305956,Average
293,4927,Graduation,Together,16626.0,2,0,76,9,0,0,68,9,53,10.004106776180699,Average
294,10451,Graduation,Together,29672.0,1,1,6,6,0,0,25,4,59,10.121834360027378,Low
295,2926,Master,Together,55951.0,0,1,62,8,0,0,1374,23,72,11.40041067761807,High
296,2874,2n Cycle,Divorced,35388.0,1,0,20,7,0,0,32,5,36,10.54072553045859,High
297,9738,Master,Together,42386.0,1,0,43,8,0,0,100,7,38,11.008898015058179,Average
298,7119,Graduation,Single,68627.0,0,0,45,1,0,0,825,12,42,10.127310061601642,Low
299,3924,PhD,Divorced,57912.0,0,1,34,5,0,0,916,28,59,9.83709787816564,High
300,5827,Graduation,Divorced,35246.0,1,1,53,5,0,0,62,11,66,9.754962354551678,Low
301,5596,2n Cycle,Together,58821.0,0,1,44,6,0,0,728,21,68,10.102669404517453,Average
302,10812,PhD,Married,46377.0,1,0,89,4,0,0,90,7,46,10.036960985626283,High
303,1717,Graduation,Single,39747.0,1,0,43,8,0,0,273,13,36,9.763175906913073,Average
304,9491,Graduation,Together,23976.0,1,0,68,7,0,0,66,10,40,10.056125941136209,High
305,9274,Master,Married,80950.0,0,0,44,2,0,0,1213,23,63,10.806297056810404,Low
306,6609,Graduation,Widow,27038.0,0,0,64,9,0,1,107,7,58,11.329226557152635,Average
307,6963,Graduation,Single,77457.0,0,0,85,1,0,0,1157,18,77,9.708418891170432,Low
308,4440,Master,Married,64100.0,0,1,93,7,0,0,546,18,60,10.272416153319645,Low
309,1379,Master,Together,42670.0,0,0,12,4,0,0,241,11,32,10.72416153319644,High
310,10032,Graduation,Divorced,12571.0,1,0,86,6,0,0,53,11,48,9.995893223819301,High
